"Soort","year","grasland_index"
"kleine vuurvlinder",2013,43.39
"oranjetipje",2013,211.22
"argusvlinder",2013,9.47
"hooibeestje",2013,102.61
"Index",2013,119.22
"bruin zandoogje",2014,80.14
"groot dikkopje",2014,51.67
"icarusblauwtje",2014,251.12
"kleine vuurvlinder",2014,21.17
"oranjetipje",2014,148.13
"argusvlinder",2014,16.36
"hooibeestje",2014,99.39
"Index",2014,110.446
"bruin zandoogje",2015,62.06
"groot dikkopje",2015,18.36
"icarusblauwtje",2015,296.96
"kleine vuurvlinder",2015,75.09
"oranjetipje",2015,87.28
"argusvlinder",2015,11.07
"hooibeestje",2015,96.46
"Index",2015,107.95
"doel MINA-plan 4",2015,182.1754
